id	path	format	operation	implementation_layer	memory_bound	default_gate	required_features	status
capability-probe	probes/capabilities.mlpl	runtime	binary-capability-probe	mlpl	not-applicable	yes	current	runnable
adaptation-contract	demos/adaptation/contract.mlpl	adaptation-run	fine-tuning-icl-icrl-contract	mlpl-native	not-applicable	yes	dot,matmul,softmax,seeded-random,to_json,parse_json	runnable
linear-fine-tune	demos/adaptation/linear_fine_tune.mlpl	adaptation-run	manual-gradient-linear-fine-tuning	mlpl-native	not-applicable	yes	dot,matmul,to_json,parse_json	runnable
low-rank-adapter	demos/adaptation/low_rank_adapter.mlpl	adaptation-run	frozen-base-low-rank-fine-tuning	mlpl-native	not-applicable	yes	matmul,to_json,parse_json	runnable
adaptation-curve-ir	demos/adaptation/curve_ir.mlpl	adaptation-ir	full-and-low-rank-evidence-normalization	mlpl-native	not-applicable	yes	matmul,to_json,parse_json	runnable
fine-tuning-acceptance	demos/adaptation/fine_tuning_acceptance.mlpl	adaptation-run	deterministic-adversarial-atomic-acceptance	mlpl-native	not-applicable	yes	matmul,to_json,parse_json,write-atomic	runnable
icl-contract	demos/adaptation/icl_contract.mlpl	adaptation-run	frozen-parameter-context-query-contract	mlpl-native	not-applicable	yes	to_json,parse_json	runnable
associative-icl	demos/adaptation/associative_icl.mlpl	adaptation-run	frozen-parameter-associative-icl	mlpl-native	not-applicable	yes	dot,to_json,parse_json	runnable
icl-controls	demos/adaptation/icl_controls.mlpl	adaptation-run	associative-context-controls	mlpl-native	not-applicable	yes	dot,to_json,parse_json	runnable
icl-comparison-ir	demos/adaptation/icl_comparison_ir.mlpl	adaptation-ir	zero-one-few-shot-comparison	mlpl-native	not-applicable	yes	dot,to_json,parse_json	runnable
icl-acceptance	demos/adaptation/icl_acceptance.mlpl	adaptation-run	deterministic-adversarial-atomic-icl-acceptance	mlpl-native	not-applicable	yes	dot,to_json,parse_json,write-atomic	runnable
safetensors-header	demos/safetensors/header.mlpl	safetensors	bounded-header-inspection	mlpl-native	chunk-bounded	yes	bounded-range-io,file-size	runnable
safetensors-catalog	demos/safetensors/catalog.mlpl	safetensors	metadata-catalog	mlpl-native	chunk-bounded	yes	bounded-range-io,file-size,parse_json,record-keys	runnable
safetensors-slice	demos/safetensors/tensor_slice.mlpl	safetensors	selective-integer-decode	mlpl-native	chunk-bounded	yes	bounded-range-io,dtype-decode	runnable
safetensors-statistics	demos/safetensors/statistics.mlpl	safetensors	tensor-statistics	mlpl-native	chunk-bounded	yes	bounded-range-io,dtype-decode,mergeable-statistics	runnable
safetensors-summary	demos/visualization/safetensors_summary.mlpl	scene-ir	tensor-summary-json	mlpl-native	chunk-bounded	yes	bounded-range-io,mergeable-statistics,to_json,scene-ir	runnable
scene-tiles	demos/visualization/scene_tiles.mlpl	scene-ir	cross-format-scene-json	mlpl-native	chunk-bounded	yes	bounded-range-io,mergeable-statistics,to_json,scene-ir	runnable
gguf-catalog	demos/gguf/catalog.mlpl	gguf	metadata-catalog	mlpl-native	chunk-bounded	yes	bounded-range-io,file-size,bit-ops	runnable
gguf-slice	demos/gguf/tensor_slice.mlpl	gguf	selective-integer-decode	mlpl-native	chunk-bounded	yes	bounded-range-io,file-size,dtype-decode	runnable
gguf-q8-0	demos/gguf/q8_0.mlpl	gguf	q8-0-block-decode	mlpl-native	chunk-bounded	yes	bounded-range-io,file-size,fp16-decode,dtype-decode	runnable
gguf-statistics	demos/gguf/statistics.mlpl	gguf	sampled-tensor-statistics	mlpl-native	chunk-bounded	yes	bounded-range-io,dtype-decode,mergeable-statistics	runnable
model-scene	demos/visualization/model_scene.mlpl	scene-ir	tensor-city-layout	mlpl-native	chunk-bounded	yes	bounded-range-io,record-keys,to_json,scene-ir	runnable
detail-tiles	demos/visualization/detail_tiles.mlpl	scene-ir	distribution-surface-tiles	mlpl-native	chunk-bounded	yes	bounded-range-io,dtype-decode,to_json,scene-ir	runnable
quantization-error	demos/visualization/quantization_error.mlpl	scene-ir	q8-error-tile	mlpl-native	chunk-bounded	yes	bounded-range-io,fp16-decode,to_json,scene-ir	runnable
visualization-transport	demos/visualization/transport.mlpl	scene-ir	jsonl-transport	mlpl-native	chunk-bounded	yes	to_json,parse_json,scene-ir	runnable
numeric-conversion	demos/quantization/numeric_conversion.mlpl	numeric-vector	conversion-error-goldens	mlpl	not-applicable	yes	to_json,parse_json	runnable
symmetric-roundtrip	demos/quantization/symmetric_roundtrip.mlpl	gguf-q8-0	symmetric-encode-decode	mlpl	not-applicable	yes	bit-ops,fp16-decode,dtype-decode	runnable
simple-q4	demos/quantization/simple_q4.mlpl	teaching-q4	nibble-encode-decode	mlpl	not-applicable	yes	bit-ops,fp16-decode	runnable
